"","fo_antik","koordinaten1","n","latitude","longitude"
"741","Albona, bei","45.075172301,14.133253098",1,"45.075172301","14.133253098"
"742","Albona, bei","45.082137180,14.085989000",1,"45.082137180","14.085989000"
"743","Albona, bei","45.086076331,14.124398230",1,"45.086076331","14.124398230"
"744","Albona, bei","45.127844899,14.052371978",1,"45.127844899","14.052371978"
"745","Alveria, bei?","43.993184992,15.810012817",1,"43.993184992","15.810012817"
"746","Alveria, bei?","43.99374,15.81388",1,"43.99374","15.81388"
"747","Ancus - Ausancalio, zwischen","44.455258192,15.507202145",1,"44.455258192","15.507202145"
"748","Andetrium, bei","43.692700876,16.469707489",1,"43.692700876","16.469707489"
"749","Andetrium, bei","43.69328,16.47267",1,"43.69328","16.47267"
"750","Ansium","44.179118607,15.665522217",1,"44.179118607","15.665522217"
"751","Ansium - Corinium, inter","44.138404056,15.701723097",1,"44.138404056","15.701723097"
"752","Apsorus","44.692521694,14.391774109",1,"44.692521694","14.391774109"
"753","Apsorus","44.694648509,14.395247953",1,"44.694648509","14.395247953"
"754","Apsorus, bei","44.6382141,14.4929765",1,"44.6382141","14.4929765"
"755","Aquae S[---]","43.831348477,18.299074172",1,"43.831348477","18.299074172"
"756","Aquae S[---]","43.831492950,18.286199568",1,"43.831492950","18.286199568"
"757","Aquae S[---]","43.843286880,18.281979560",1,"43.843286880","18.281979560"
"758","Aquae S[---], bei","43.816445340,18.276786804",1,"43.816445340","18.276786804"
"759","Aquae S[---], bei","43.828675682,18.299746513",1,"43.828675682","18.299746513"
"760","Aquae S[...], bei","43.838489106,18.259277343",1,"43.838489106","18.259277343"
"761","Arba","44.754086315,14.761900630",1,"44.754086315","14.761900630"
"762","Arba","44.754548297,14.761236905",1,"44.754548297","14.761236905"
"763","Arba","44.754969757,14.760823845",1,"44.754969757","14.760823845"
"764","Arba","44.756450,14.759572",1,"44.756450","14.759572"
"765","Arba","44.756494191,14.759595394",1,"44.756494191","14.759595394"
"766","Arba","44.757366515,14.758875586",1,"44.757366515","14.758875586"
"767","Arba, bei","44.733586736,14.803421715",1,"44.733586736","14.803421715"
"768","Arba, bei","44.748104804,14.800815582",1,"44.748104804","14.800815582"
"769","Arba, bei","44.757886302,14.758452285",1,"44.757886302","14.758452285"
"770","Arba, bei","44.763632316,14.775824966",1,"44.763632316","14.775824966"
"771","Arba, bei","44.769494226,14.735537446",1,"44.769494226","14.735537446"
"772","Arba, bei","44.7768332,14.7279432",1,"44.7768332","14.7279432"
"773","Arba, bei","44.793945504,14.703324599",1,"44.793945504","14.703324599"
"774","Argyruntum","44.293074321,15.439717769",1,"44.293074321","15.439717769"
"775","Argyruntum","44.295051999,15.440270999",1,"44.295051999","15.440270999"
"776","Argyruntum, bei","44.292671148,15.455422997",1,"44.292671148","15.455422997"
"777","Arupium","44.842846731,15.278892517",1,"44.842846731","15.278892517"
"778","Arupium, aus?","44.86944,15.2375",1,"44.86944","15.2375"
"779","Arupium, bei","44.787293405,15.367298147",1,"44.787293405","15.367298147"
"780","Arupium, bei","44.799849947,15.355131626",1,"44.799849947","15.355131626"
"781","Arupium, bei","44.805955160,15.320713520",1,"44.805955160","15.320713520"
"782","Arupium, bei","44.828858412,15.331527113",1,"44.828858412","15.331527113"
"783","Arupium, bei","44.842846731,15.278763771",1,"44.842846731","15.278763771"
"784","Arupium, bei","44.843303162,15.271639823",1,"44.843303162","15.271639823"
"785","Arupium, bei","44.843333591,15.271768569",1,"44.843333591","15.271768569"
"786","Arupium, bei","44.843424876,15.271747112",1,"44.843424876","15.271747112"
"787","Asseria","44.011256,15.667187",1,"44.011256","15.667187"
"788","Asseria - Corinium, inter","44.135837449,15.632600784",1,"44.135837449","15.632600784"
"789","Asseria, aus?","45.437283660,12.267020065",1,"45.437283660","12.267020065"
"790","Asseria, bei","43.976669376,15.705005099",1,"43.976669376","15.705005099"
"791","Asseria, bei","43.976927468,15.704962185",1,"43.976927468","15.704962185"
"792","Asseria, bei","44.0088796,15.6370881",1,"44.0088796","15.6370881"
"793","Asseria, bei","44.010281,15.6844401",1,"44.010281","15.6844401"
"794","Asseria, bei","44.01083,15.63417",1,"44.01083","15.63417"
"795","Asseria, bei","44.0256574,15.642799400",1,"44.0256574","15.642799400"
"796","Asseria, bei","44.028723282,15.684510423",1,"44.028723282","15.684510423"
"797","Asseria, bei","44.033660,15.611726",1,"44.033660","15.611726"
"798","Asseria, bei","44.055039,15.5980981",1,"44.055039","15.5980981"
"799","Asseria?","44.009996,15.66834",1,"44.009996","15.66834"
"800","Aufustianis, bei","43.297245254,17.393653391",1,"43.297245254","17.393653391"
"801","Aufustianis, bei","43.3202794,17.3588458",1,"43.3202794","17.3588458"
"802","Baloie","44.279813223,17.086852719",1,"44.279813223","17.086852719"
"803","Baloie","44.281116192,17.083539964",1,"44.281116192","17.083539964"
"804","Baloie","44.281533785,17.097152402",1,"44.281533785","17.097152402"
"805","Baloie","44.285048741,17.100877763",1,"44.285048741","17.100877763"
"806","Bersellum, bei?","44.248774410,17.588775553",1,"44.248774410","17.588775553"
"807","Bersellum?","44.241027720,17.576532474",1,"44.241027720","17.576532474"
"808","Bigeste","43.180293839,17.527662200",1,"43.180293839","17.527662200"
"809","Bigeste","43.180493872,17.527105644",1,"43.180493872","17.527105644"
"810","Bigeste","43.181839497,17.527137831",1,"43.181839497","17.527137831"
"811","Bigeste","43.182492206,17.528810186",1,"43.182492206","17.528810186"
"812","Bigeste","43.184424513,17.532640380",1,"43.184424513","17.532640380"
"813","Bigeste","43.184472729,17.533898949",1,"43.184472729","17.533898949"
"814","Bigeste, bei","43.166381211,17.561974522",1,"43.166381211","17.561974522"
"815","Bigeste, bei","43.178092696,17.530049978",1,"43.178092696","17.530049978"
"816","Bigeste, bei","43.1904758,17.540558",1,"43.1904758","17.540558"
"817","Bigeste, bei","43.192548,17.549551",1,"43.192548","17.549551"
"818","Bigeste, bei","43.1989428,17.546667100",1,"43.1989428","17.546667100"
"819","Bigeste, bei","43.199896408,17.541062517",1,"43.199896408","17.541062517"
"820","Bigeste, bei","43.2054765,17.5658817",1,"43.2054765","17.5658817"
"821","Boa, insula","43.499499468,16.338840437",1,"43.499499468","16.338840437"
"822","Boa, insula","43.513514100,16.253328323",1,"43.513514100","16.253328323"
"823","Brattia, insula","43.3312803,16.575255500",1,"43.3312803","16.575255500"
"824","Brattia, insula","43.3331922,16.8377033",1,"43.3331922","16.8377033"
"825","Brattia, insula","43.3346891,16.5316376",1,"43.3346891","16.5316376"
"826","Brattia, insula","43.346899518,16.744233919",1,"43.346899518","16.744233919"
"827","Brattia, insula","43.348900004,16.623573310",1,"43.348900004","16.623573310"
"828","Brattia, insula","43.354641910,16.603420972",1,"43.354641910","16.603420972"
"829","Brattia, insula","43.37639,16.63222",1,"43.37639","16.63222"
"830","Burnum","44.015765217,16.009783744",1,"44.015765217","16.009783744"
"831","Burnum","44.016621645,16.018227338",1,"44.016621645","16.018227338"
"832","Burnum","44.017493492,16.022851011",1,"44.017493492","16.022851011"
"833","Burnum","44.017786677,16.021971702",1,"44.017786677","16.021971702"
"834","Burnum","44.017817538,16.025447845",1,"44.017817538","16.025447845"
"835","Burnum","44.017940984,16.025962829",1,"44.017940984","16.025962829"
"836","Burnum","44.018930854,16.018051877",1,"44.018930854","16.018051877"
"837","Burnum","44.019123734,16.018132343",1,"44.019123734","16.018132343"
"838","Burnum, bei","43.935193349,15.899165154",1,"43.935193349","15.899165154"
"839","Burnum, bei","43.962349036,15.990085601",1,"43.962349036","15.990085601"
"840","Burnum, bei","43.996009920,15.931913852",1,"43.996009920","15.931913852"
"841","Burnum, bei","44.014484409,16.010942459",1,"44.014484409","16.010942459"
"842","Burnum, bei","44.015255983,16.025179624",1,"44.015255983","16.025179624"
"843","Burnum, bei","44.038285428,16.071796417",1,"44.038285428","16.071796417"
"844","Burnum, bei","44.0385289,16.0713112",1,"44.0385289","16.0713112"
"845","Burnum, bei","44.083392665,16.092588901",1,"44.083392665","16.092588901"
"846","Burnum, bei","44.083408078,16.092588901",1,"44.083408078","16.092588901"
"847","Burnum, bei","44.1008521,16.1267351",1,"44.1008521","16.1267351"
"848","Burnum, bei","44.108172616,15.940561294",1,"44.108172616","15.940561294"
"849","Burnum, bei","44.108204,15.9412748",1,"44.108204","15.9412748"
"850","Buthoe","42.278279499,18.837506433",1,"42.278279499","18.837506433"
"851","Buthoe","42.279770,18.831820",1,"42.279770","18.831820"
"852","Buthoe?","42.278875989,18.835307018",1,"42.278875989","18.835307018"
"853","Capedunum?, bei","43.85497,19.70005",1,"43.85497","19.70005"
"854","Capedunum?, bei","43.8554024,19.842093699",1,"43.8554024","19.842093699"
"855","Capedunum?, bei","43.863827309,19.654331803",1,"43.863827309","19.654331803"
"856","Capedunum?, bei","43.919062319,19.907548248",1,"43.919062319","19.907548248"
"857","Capedunum?, bei","43.919309621,19.906775771",1,"43.919309621","19.906775771"
"858","Castellum Tariona, bei?","43.556779913,16.076745988",1,"43.556779913","16.076745988"
"859","Castellum Tariona, bei?","43.588152045,16.124575138",1,"43.588152045","16.124575138"
"860","Castra","44.767166180,17.192916870",1,"44.767166180","17.192916870"
"861","Castra, bei","44.785002906,17.099807735",1,"44.785002906","17.099807735"
"862","Cissa","44.546003060,14.913961887",1,"44.546003060","14.913961887"
"863","Cissa","44.549771293,14.921032190",1,"44.549771293","14.921032190"
"864","Cissa","44.550050364,14.920692444",1,"44.550050364","14.920692444"
"865","Cissa","44.550052913,14.920772910",1,"44.550052913","14.920772910"
"866","Cissa, bei","44.555911830,14.884663224",1,"44.555911830","14.884663224"
"867","Cissa, bei","44.556327207,14.883811942",1,"44.556327207","14.883811942"
"868","Cissa, bei","44.556330877,14.883792400",1,"44.556330877","14.883792400"
"869","Cissa, bei","44.556478832,14.882721304",1,"44.556478832","14.882721304"
"870","Cissa, bei","44.570365465,14.892484545",1,"44.570365465","14.892484545"
"871","Cissa, insula","44.326181356,15.206966400",1,"44.326181356","15.206966400"
"872","Cissa, insula","44.445,15.0575",1,"44.445","15.0575"
"873","Cissa, insula","44.522498668,14.915485382",1,"44.522498668","14.915485382"
"874","Cissa?","44.5518243,14.92093",1,"44.5518243","14.92093"
"875","Colentum, insula","43.808355,15.600202",1,"43.808355","15.600202"
"876","Colentum, insula","43.825663668,15.595006947",1,"43.825663668","15.595006947"
"877","Corinium","44.107511,15.625580",1,"44.107511","15.625580"
"878","Corinium","44.108788900,15.625219345",1,"44.108788900","15.625219345"
"879","Corinium","44.122550908,15.614891059",1,"44.122550908","15.614891059"
"880","Corinium, aus","44.200474231,15.682232379",1,"44.200474231","15.682232379"
"881","Corinium, bei","44.081887246,15.650968551",1,"44.081887246","15.650968551"
"882","Corinium, bei","44.081897522,15.650947093",1,"44.081897522","15.650947093"
"883","Corinium, bei","44.081979730,15.650703906",1,"44.081979730","15.650703906"
"884","Corinium, bei","44.128198567,15.615320207",1,"44.128198567","15.615320207"
"885","Corinium, bei","44.15611,15.55583",1,"44.15611","15.55583"
"886","Corinium?","44.107155733,15.626335144",1,"44.107155733","15.626335144"
"887","Crexa","44.959089144,14.410800933",1,"44.959089144","14.410800933"
"888","Crexa","44.959795182,14.409384727",1,"44.959795182","14.409384727"
"889","Crexa","44.96092,14.41246",1,"44.96092","14.41246"
"890","Crexa, bei","45.112038883,14.354231357",1,"45.112038883","14.354231357"
"891","Curicum","45.026719171,14.618523496",1,"45.026719171","14.618523496"
"892","Curicum","45.026743772,14.618410030",1,"45.026743772","14.618410030"
"893","Curicum","45.027921051,14.576405086",1,"45.027921051","14.576405086"
"894","Curicum","45.028826639,14.574363571",1,"45.028826639","14.574363571"
"895","Curicum, bei","44.974188427,14.740724137",1,"44.974188427","14.740724137"
"896","Curicum, bei","44.977428117,14.738502502",1,"44.977428117","14.738502502"
"897","Curicum, bei","44.977511600,14.738296208",1,"44.977511600","14.738296208"
"898","Curicum, bei","44.977549547,14.738266468",1,"44.977549547","14.738266468"
"899","Decimin","43.616892888,16.596747636",1,"43.616892888","16.596747636"
"900","Delminium, bei","43.592990645,17.322235135",1,"43.592990645","17.322235135"
"901","Delminium, bei","43.616052718,17.339856307",1,"43.616052718","17.339856307"
"902","Delminium, bei","43.6376313,17.237358999",1,"43.6376313","17.237358999"
"903","Delminium, bei","43.682831495,17.083637818",1,"43.682831495","17.083637818"
"904","Delminium, bei","43.689293926,17.073554993",1,"43.689293926","17.073554993"
"905","Delminium, bei","43.709732618,17.164210211",1,"43.709732618","17.164210211"
"906","Delminium, bei","43.711035500,17.164639364",1,"43.711035500","17.164639364"
"907","Delminium, bei","43.718336029,17.230203281",1,"43.718336029","17.230203281"
"908","Delminium, bei","43.719581086,17.226941715",1,"43.719581086","17.226941715"
"909","Delminium, bei","43.736016256,17.268161770",1,"43.736016256","17.268161770"
"910","Delminium, bei","43.737087201,17.268408666",1,"43.737087201","17.268408666"
"911","Delminium, bei","43.7473861,17.260491099",1,"43.7473861","17.260491099"
"912","Delminium, bei","43.776019561,17.218283544",1,"43.776019561","17.218283544"
"913","Delminium, bei","43.838767345,17.181471833",1,"43.838767345","17.181471833"
"914","Delminium, bei","43.839386432,17.184819229",1,"43.839386432","17.184819229"
"915","Diluntum","43.082781461,17.959791938",1,"43.082781461","17.959791938"
"916","Diluntum","43.082872221,17.959009951",1,"43.082872221","17.959009951"
"917","Diluntum","43.083372772,17.956979429",1,"43.083372772","17.956979429"
"918","Diluntum, bei","43.1138108,17.841405900",1,"43.1138108","17.841405900"
"919","Diluntum, bei","43.144865245,17.925901871",1,"43.144865245","17.925901871"
"920","Diluntum, bei","43.146679242,17.903655475",1,"43.146679242","17.903655475"
"921","Diluntum, bei","43.179872200,17.911706200",1,"43.179872200","17.911706200"
"922","Doclea","42.464768434,19.261586666",1,"42.464768434","19.261586666"
"923","Doclea","42.468459370,19.265255928",1,"42.468459370","19.265255928"
"924","Doclea","42.468476306,19.265247559",1,"42.468476306","19.265247559"
"925","Doclea","42.468563361,19.265304207",1,"42.468563361","19.265304207"
"926","Doclea","42.468695263,19.268993139",1,"42.468695263","19.268993139"
"927","Doclea","42.468733514,19.269025325",1,"42.468733514","19.269025325"
"928","Doclea","42.468832440,19.265363216",1,"42.468832440","19.265363216"
"929","Doclea","42.469071181,19.261636734",1,"42.469071181","19.261636734"
"930","Doclea","42.470021235,19.268946647",1,"42.470021235","19.268946647"
"931","Doclea, bei","42.31556,19.39778",1,"42.31556","19.39778"
"932","Doclea, bei","42.341211057,19.373266696",1,"42.341211057","19.373266696"
"933","Doclea, bei","42.342432159,19.339692592",1,"42.342432159","19.339692592"
"934","Doclea, bei","42.4415238,19.2621081",1,"42.4415238","19.2621081"
"935","Doclea, bei","42.445350951,19.267094135",1,"42.445350951","19.267094135"
"936","Doclea, bei","42.465726091,19.299427270",1,"42.465726091","19.299427270"
"937","Doclea, bei","42.469029726,19.261533021",1,"42.469029726","19.261533021"
"938","Doclea, bei","42.469940262,19.265423566",1,"42.469940262","19.265423566"
"939","Doclea, bei","42.470334776,19.281009435",1,"42.470334776","19.281009435"
"940","Doclea, bei","42.470413915,19.250092505",1,"42.470413915","19.250092505"
"941","Doclea, bei","42.471937635,19.272045748",1,"42.471937635","19.272045748"
"942","Doclea, bei","42.473932850,19.297378063",1,"42.473932850","19.297378063"
"943","Domavium","44.122699809,19.366350174",1,"44.122699809","19.366350174"
"944","Domavium","44.141796990,19.359514449",1,"44.141796990","19.359514449"
"945","Domavium","44.142095041,19.359466907",1,"44.142095041","19.359466907"
"946","Domavium, aus","44.140357624,19.359418835",1,"44.140357624","19.359418835"
"947","Domavium, bei","44.064426436,19.422709260",1,"44.064426436","19.422709260"
"948","Domavium, bei","44.102824865,19.299924744",1,"44.102824865","19.299924744"
"949","Domavium, bei","44.106770545,19.223327638",1,"44.106770545","19.223327638"
"950","Domavium, bei","44.133701947,19.432720182",1,"44.133701947","19.432720182"
"951","Domavium, bei","44.1375478,19.4264292",1,"44.1375478","19.4264292"
"952","Domavium, bei","44.152683,19.412284499",1,"44.152683","19.412284499"
"953","Domavium, bei","44.1694054,19.377942800",1,"44.1694054","19.377942800"
"954","Domavium, bei","44.169408647,19.378564697",1,"44.169408647","19.378564697"
"955","Domavium, bei","44.18455,19.33085",1,"44.18455","19.33085"
"956","Domavium, bei","44.1858792,19.332615400",1,"44.1858792","19.332615400"
"957","Domavium, bei","44.204424261,19.351270539",1,"44.204424261","19.351270539"
"958","Domavium, bei","44.2051195,19.3479005",1,"44.2051195","19.3479005"
"959","Domavium, bei","44.353723470,19.345579145",1,"44.353723470","19.345579145"
"960","Epetium","43.498238692,16.523668169",1,"43.498238692","16.523668169"
"961","Epetium, aus?","43.484462,16.552744",1,"43.484462","16.552744"
"962","Epetium, bei","43.501807709,16.507342100",1,"43.501807709","16.507342100"
"963","Epetium, bei","43.509785483,16.497293469",1,"43.509785483","16.497293469"
"964","Epetium, bei","43.512331425,16.603260040",1,"43.512331425","16.603260040"
"965","Epetium, bei","43.512847183,16.517220904",1,"43.512847183","16.517220904"
"966","Epetium, bei","43.512891642,16.516777038",1,"43.512891642","16.516777038"
"967","Epetium, bei","43.513070600,16.517547369",1,"43.513070600","16.517547369"
