"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-32700974","CIL 03, 15110a","Dalmatia","Ivosevci / Burnum","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Leg IIII F F","Legio IIII Flavia Felix","opus figlinae",NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
"EDCS-32700975","CIL 03, 15110b","Dalmatia","Ivosevci / Burnum","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) IIII F(lavia) F(elix)","Leg IIII F F","Legio IIII Flavia Felix","opus figlinae",NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
"EDCS-32700984","CIL 03, 15114","Dalmatia","Ivosevci / Burnum","","","","","sigilla impressa;  tituli fabricationis","]LAETEFP","LAETEFP","LAETEFP","opus figlinae",NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
"EDCS-55200058","FRMEC p 100","Dalmatia","Ivosevci / Burnum","","","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(io)] VIII Aug(usta)","VIII Aug","Legio VIII Augusta","opus figlinae",NA,"44.0160408","16.0072244","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$FRMEC-100.jpg","","","",NA,"Burnum"
"EDCS-10101841","ILJug-03, 02816","Dalmatia","Ivosevci / Burnum","","","","","milites;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri","] Ani(ensi) Prisc(us) [Cre]mona mil(es) leg(ionis) XI C(laudiae) P(iae) F(idelis) ann(orum) XXXIIX stip(endiorum) XX et P(ublius) Mamiliu[s] eques","Ani Prisc mona mil leg XI C P F ann XXXIIX stip XX et P Mamiliu eques","Aniensi Priscus Cremona miles legionis XI Claudiae Piae Fidelis annorum XXXIIX stipendiorum XX et Publius Mamilius eques",NA,NA,"44.0160408","16.0072244","",NA,"","","",NA,"Burnum"
"EDCS-63400006","Liburnia 00134","Dalmatia","Kistanje / Burnum","","","","","tituli sacri;  tria nomina;  viri","[1] Au[g(ust)] / INDAC[1]S / L(ucius) Quintiu[s] / Saecular[is] / v(otum) s(olvit) l(ibens) [m(erito)]","Au INDACS L Quintiu Saecular v s l","August INDAC S Lucius Quintius Saecularis votum solvit libens merito",NA,NA,"43.9814264","15.9653321","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23136","","",NA,"Burnum"
"EDCS-63400008","Lupa 23139","Dalmatia","Kistanje / Burnum","","","","","viri","Aur(elius?) PII / MEPARV / DIAN[","Aur PII MEPARV DIAN","Aurelius PII MEPARV DIAN",NA,NA,"43.9814264","15.9653321","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23139","","",NA,"Burnum"
"EDCS-63400005","Lupa 23269","Dalmatia","Kistanje / Burnum","","","","","milites;  tituli sepulcrales;  viri","le]g(ionis) XI C(laudiae) P(iae) F(idelis) / [ann(orum)] XXXX st[ip(endiorum)] / [3]X I Q() Priscu[s] / frat[er(?)]","leg XI C P F XXXX st X I Q Priscu frat","legionis XI Claudiae Piae Fidelis annorum XXXX stipendiorum X I Q Priscus frater",NA,NA,"43.9814264","15.9653321","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23269","","",NA,"Burnum"
"EDCS-10100992","ILJug-03, 02028,3228 = Legio-VII 00081","Dalmatia","Klis / Clissa","","","","","milites;  tituli sepulcrales;  viri","]E MVL[3] / [3] Capit[o(?) 3] / [3] leg(ionis?) VII [","E MVL Capit leg VII","E MVL Capito legionis VII",NA,NA,"43.5587998","16.5237544","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00081.jpg","","","",NA,"Cliss"
"EDCS-30301419","CIL 03, 09923b (p 2328)","Dalmatia","Knin / Burnum","","","","",NA,"P() F[","P F","P F",NA,NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
"EDCS-31300514","CIL 03, 10184,34b","Dalmatia","Knin / Burnum","","","","","sigilla impressa;  tituli fabricationis;  tria nomina;  viri","Q(uinti) N() C()","Q N C","Quinti N C","opus figlinae",NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
"EDCS-32701029","CIL 03, 15129,01","Dalmatia","Knin / Burnum","","","","","tituli possessionis","I() V() B() / E() V() [1]","I V B E V","I V B E V",NA,NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
"EDCS-32701030","CIL 03, 15129,02","Dalmatia","Knin / Burnum","","","","","nomen singulare;  tituli possessionis;  viri","Lici","Lici","Lici",NA,NA,"44.040850","16.199433","",NA,"","","",NA,"Burnum"
