"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","photo"
"EDCS-10000652","ILJug-02, 00636 = AE 1964, 00227 = AE 1966, 00280 = AE 1989, 00608 = AE 2008, +01035","Dalmatia","Cavtat / Epidaurum","Epidaurum","14","20","milites;  ordo decurionum;  ordo equester;  ordo senatorius;  tituli operum;  tria nomina;  viri","[P(ublio)] Dolabella / leg(ato) pro pr(aetore) / coh(ors) VI vol(untariorum) / trib(uno) L(ucio) Purtisio Atinate / [3]ilio C(aio) Saenio IIvir(is)","Publio Dolabella legato pro praetore cohors VI voluntariorum tribuno Lucio Purtisio Atinate ilio Caio Saenio II viris","42.5814314","18.2177461","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00636_1.jpg"
"EDCS-28300058","CIL 03, 02733 = ZPE-7-85 = Legio-VII 00073 = AE 1977, 00613","Dalmatia","Citluk / Aequum","Aequum","42","100","milites;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri","Sex(tus) Iu[lius Sex(ti) f(ilius)] / Ani(ensi) Silva[nus Foro Iulii] / summus c[urat(or) c(ivium) R(omanorum) prov(inciae) Dalm(atiae)] / suffragio [eorum factus vet(eranus?)] / leg(ionis) VII C(laudiae) P(iae) F(idelis) aed[ilis col(oniae) Claudiae Aequi ab] / ordine primus [post col(oniam) ded(uctam) creatus] / IIIIvir i(ure) d(icundo) pont(ifex) [in col(onia?) Salona(?) 3] / in ag[ro] p(edes) [3] / h(oc) s(epulcrum) h(eredem) [n(on) s(equetur)]","Sextus Iulius Sexti filius Aniensi Silvanus Foro Iulii summus curator civium Romanorum provinciae Dalmatiae suffragio eorum factus veteranus legionis VII Claudiae Piae Fidelis aedilis coloniae Claudiae Aequi ab ordine primus post coloniam deductam creatus IIII vir iure dicundo pontifex in colonia Salona in agro pedes hoc sepulcrum heredem non sequetur","43.7425382","16.6534966",NA
"EDCS-30100426","CIL 03, 09760","Dalmatia","Citluk / Aequum","Aequum","1","150","milites;  nomen singulare;  tituli sepulcrales;  viri","Burrius Betuloni / f(ilius) Trebocus miles / c(o)ho(rtis) Aquitanorum / annorum LV / stip(endiorum) XXIX / h(ic) s(itus) e(st) / heres posuit","Burrius Betuloni filius Trebocus miles cohortis Aquitanorum annorum LV stipendiorum XXIX hic situs est heres posuit","43.7425382","16.6534966","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_09760.jpg"
"EDCS-30100427","CIL 03, 09761 (p 1475) = Legio-VII 00062","Dalmatia","Citluk / Aequum","Aequum","42","150","liberti/libertae;  milites;  tria nomina;  viri","M(arcus) Varenus / M(arci) f(ilius) Vol(tinia) Valens ve/ter(anus) leg(ionis) VII C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) / arbitratu M(arci) Vare/ni Secundi liberti idem/que heredis","Marcus Varenus Marci filius Voltinia Valens veteranus legionis VII Claudiae Piae Fidelis testamento fieri iussit arbitratu Marci Vareni Secundi liberti idem que heredis","43.7425382","16.6534966",NA
"EDCS-32700500","CIL 03, 14946 (p 2328,114) = Legio-VII 00044 = AE 1900, 00139","Dalmatia","Citluk / Aequum","Aequum","42","100","liberti/libertae;  milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aius) Octavius / C(ai) f(ilius) Fabia Vital[i]s / domo Brixiae / vet(eranus) leg(ionis) VII C(laudiae) P(iae) F(idelis) / h(ic) s(itus) e(st) / testamento f(ieri) i(ussit) / arbitratu Octavi/ae Secundaes(!) lib(ertae) / suae","Caius Octavius Cai filius Fabia Vitalis domo Brixiae veteranus legionis VII Claudiae Piae Fidelis hic situs est testamento fieri iussit arbitratu Octaviae Secundaes libertae suae","43.7425382","16.6534966","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00044.jpg"
"EDCS-10000760","ILJug-02, 00748","Dalmatia","Citluk / Aequum","Aequum","42","100","liberti/libertae;  milites;  mulieres;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri","M(arco) Caecilio / Saturni/no vet(erano) leg(ionis) XI / C(laudiae) P(iae) F(idelis) et / Viriae P(ubli) l(ibertae) / uxori [","Marco Caecilio Saturnino veterano legionis XI Claudiae Piae Fidelis et Viriae Publi libertae uxori","43.7425382","16.6534966",NA
"EDCS-28300101","CIL 03, 02772 = Legio-VII 00049","Dalmatia","Danilo Gornje / Rider","Rider","42","150","milites;  tituli sepulcrales;  tria nomina;  viri","Q(uinto) Petro/nio Vale/nti militiav(it) / leg(ione) VII <C=G>(laudia) P(ia) F(ideli) / h(ic) s(itus) e(st)","Quinto Petronio Valenti militiavit legione VII Claudia Pia Fideli hic situs est","43.706309","16.0292749","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_02772_1.jpg;$M_CIL_03_02772_2.jpg;$M_CIL_03_02772_3.jpg;$M_CIL_03_02772_4.jpg"
"EDCS-71300207","AE 2014, 01013","Dalmatia","Doboj","Doboj","71","100","milites;  tituli sacri;  tria nomina;  viri","[I(ovi)] O(ptimo) M(aximo) / [3 V]ar(ius?) R() / [3]TI[3] / coh(ortis?) I m(iliariae) / [e]x ius(su) / l(ibens)","Iovi Optimo Maximo Varius R TI cohortis I miliariae ex iussu libens","44.7313612","18.0847183",NA
"EDCS-30301451","CIL 03, 09939 (p 1475) = Legio-VII 00037 = AE 1890, 00051","Dalmatia","Dobropoljci","Dobropoljci","31","100","milites;  praenomen et nomen;  tituli sepulcrales;  viri","Q(uintus) Magius / C(ai) f(ilius) Publ(ilia) dom(o) / Verona vetera(nus) / leg(ionis) VII annoru(m) / L stipend(iorum) XXV / t(estamento) f(ieri) i(ussit) h(ic) [s(itus)] e(st)","Quintus Magius Cai filius Publilia domo Verona veteranus legionis VII annorum L stipendiorum XXV testamento fieri iussit hic situs est","43.9936545","15.8108052","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00037.jpg"
"EDCS-29900022","CIL 03, 12794 (p 2328,114) = D 05952 = Legio-VII 00098 = Grbic 00034 = AE 1891, 00017","Dalmatia","Dubrava / Diluntum","Diluntum","41","54","Augusti/Augustae;  milites;  nomen singulare;  ordo senatorius;  termini;  tria nomina;  viri","[3 i]nter Ner[a]/[sti]nos et Pitunti/nos termini r[ec]/[o]gniti et restitu[ti] a / [P]isone leg(ato) pro pr(a)etore / [Ti(beri)] Claudi Caesaris [Aug(usti)] / Germanici per C(aium) Ma[r]/ium Maternum |(centurionem) leg(ionis) / VII C(laudiae) P(iae) F(idelis) quos L(ucius) Volus/[ius Saturninus","inter Nerastinos et Pituntinos termini recogniti et restituti a Pisone legato pro praetore Tiberi Claudi Caesaris Augusti Germanici per Caium Marium Maternum centurionem legionis VII Claudiae Piae Fidelis quos Lucius Volusius Saturninus","43.078729","17.958448","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00098.jpg"
